"When I work in a group, I do higher quality work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,We cannot complete the assignment unless everyone contributes.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things."
1.0,2.0,2.0,3.0,5.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0
5.0,2.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0
4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,1.0,2.0,3.0,4.0,5.0,2.0,4.0,2.0
3.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0
3.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0
3.0,2.0,4.0,5.0,1.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0
2.0,2.0,4.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,1.0
5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0
4.0,2.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,5.0,2.0
4.0,1.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,2.0
4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0
3.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,5.0,1.0
5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,3.0,4.0,5.0,1.0,5.0,1.0
3.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,1.0
4.0,2.0,1.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,2.0
4.0,3.0,5.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0
2.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0
4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0
4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,5.0,2.0
3.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0
4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0
5.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,5.0,1.0,4.0,2.0
4.0,2.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0
5.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0
5.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,5.0,4.0,1.0,4.0,3.0
2.0,2.0,3.0,5.0,1.0,4.0,1.0,5.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0
3.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0
2.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0
4.0,1.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,5.0,2.0
4.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,1.0
