,0,1,2,3
When I work in a group I do higher quality work.,0.4762,0.0,0.0,0.0
The material is easier to understand when I work with other students.,0.5251,0.0,0.0,0.0
My group members help explain things that I do not understand.,0.3397,0.0,0.0,0.0
I feel working in groups is a waste of time.,-0.1869,0.0,0.0,0.0
The workload is usually less when I work with other students.,0.717,0.0,0.0,0.0
My group members respect my opinions.,0.0,0.355,0.0,0.0
My group members make me feel that I am not as smart as they are.,0.0,0.4735,0.0,0.0
My group members do not care about my feelings.,0.0,0.2161,0.0,0.0
I feel I am part of what is going on in the group.,0.0,0.4006,0.0,0.0
"When I work in a group, I am able to share my ideas.",0.0,-0.7302,0.0,0.0
Everyone’s ideas are needed if we are going to be successful.,0.0,0.0,0.2452,0.0
We cannot complete the assignment unless everyone contributes.,0.0,0.0,0.572,0.0
I let the other students do most of the work.,0.0,0.0,0.4836,0.0
I also learn when I teach the material to my group members.,0.0,0.0,-0.4083,0.0
I learn to work with students who are different from me.,0.0,0.0,-0.3745,0.0
I become frustrated when my group members do not understand the material.,0.0,0.0,0.0,0.2516
"When I work with other students, we spend too much time talking about other things.",0.0,0.0,0.0,-0.7561
I have to work with students who are not as smart as I am.,0.0,0.0,0.0,0.1275
