,When I work in a group I do higher quality work.,"When I work in a group, I end up doing most of the work.",My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things."
When I work in a group I do higher quality work.,1.0,-0.2652,0.2939,0.4174,-0.0132,0.2891,0.3007,0.1275,0.1402,-0.2775,0.3569,0.2781,-0.2012,-0.2527,-0.3408,-0.1018,0.3228,0.2188,0.1905,-0.178,0.2678,-0.0549
"When I work in a group, I end up doing most of the work.",-0.2652,1.0,-0.327,-0.223,0.1469,-0.3732,-0.4005,-0.3187,-0.1111,0.4545,-0.109,-0.2789,0.4216,0.1005,0.4427,0.4577,-0.4835,-0.1731,-0.182,0.1116,-0.3847,0.0092
My group members help explain things that I do not understand.,0.2939,-0.327,1.0,0.3411,-0.0668,0.5546,0.2009,0.3369,0.2512,-0.3224,0.1803,0.2493,-0.413,-0.0992,-0.2624,-0.2582,0.2843,0.165,0.3368,-0.1318,0.3488,-0.1642
"When I work in a group, I am able to share my ideas.",0.4174,-0.223,0.3411,1.0,-0.2381,0.4482,0.2826,0.3328,0.291,-0.2286,0.238,0.2066,-0.3261,-0.1694,-0.3848,-0.127,0.1444,0.1983,0.35,-0.1024,0.3974,-0.2279
My group members make me feel that I am not as smart as they are.,-0.0132,0.1469,-0.0668,-0.2381,1.0,-0.1458,-0.0826,-0.369,-0.3563,0.019,-0.1505,-0.0761,0.1967,0.3037,0.1787,0.1377,-0.1265,-0.0758,-0.2302,0.1745,-0.0335,0.0433
The material is easier to understand when I work with other students.,0.2891,-0.3732,0.5546,0.4482,-0.1458,1.0,0.2652,0.386,0.2351,-0.3382,0.3218,0.221,-0.4281,-0.1928,-0.5247,-0.134,0.345,0.3395,0.4955,-0.0478,0.3728,-0.1511
The workload is usually less when I work with other students.,0.3007,-0.4005,0.2009,0.2826,-0.0826,0.2652,1.0,0.2816,0.1786,-0.1857,0.042,0.1224,-0.2717,0.0669,-0.2543,-0.057,0.2306,0.1243,0.2771,0.0294,0.362,-0.0675
My group members respect my opinions.,0.1275,-0.3187,0.3369,0.3328,-0.369,0.386,0.2816,1.0,0.2893,-0.1607,0.1422,0.2392,-0.5394,-0.1749,-0.3256,-0.2214,0.3157,0.2222,0.3095,-0.1818,0.2317,-0.1323
I feel I am part of what is going on in the group.,0.1402,-0.1111,0.2512,0.291,-0.3563,0.2351,0.1786,0.2893,1.0,-0.1742,0.2266,0.2121,-0.2927,-0.2144,-0.2142,-0.0477,0.1294,0.0021,0.296,-0.0706,0.1254,-0.079
I do not think a group grade is fair.,-0.2775,0.4545,-0.3224,-0.2286,0.019,-0.3382,-0.1857,-0.1607,-0.1742,1.0,-0.1909,-0.3595,0.4177,0.1881,0.6055,0.3704,-0.339,-0.1853,-0.2045,0.047,-0.2767,0.1019
I try to make sure my group members learn the material.,0.3569,-0.109,0.1803,0.238,-0.1505,0.3218,0.042,0.1422,0.2266,-0.1909,1.0,0.3363,-0.1801,-0.2168,-0.2291,-0.0555,0.2654,0.4101,0.3119,-0.3456,0.263,0.0258
I learn to work with students who are different from me.,0.2781,-0.2789,0.2493,0.2066,-0.0761,0.221,0.1224,0.2392,0.2121,-0.3595,0.3363,1.0,-0.3533,-0.0793,-0.3881,-0.1068,0.3247,0.2048,0.2755,-0.2233,0.24,-0.1755
My group members do not care about my feelings.,-0.2012,0.4216,-0.413,-0.3261,0.1967,-0.4281,-0.2717,-0.5394,-0.2927,0.4177,-0.1801,-0.3533,1.0,0.2126,0.4167,0.2687,-0.2992,-0.0951,-0.3467,0.0482,-0.2684,0.0524
I let the other students do most of the work.,-0.2527,0.1005,-0.0992,-0.1694,0.3037,-0.1928,0.0669,-0.1749,-0.2144,0.1881,-0.2168,-0.0793,0.2126,1.0,0.3759,0.1899,-0.2314,-0.0868,-0.0462,0.2361,-0.1039,0.1378
I feel working in groups is a waste of time.,-0.3408,0.4427,-0.2624,-0.3848,0.1787,-0.5247,-0.2543,-0.3256,-0.2142,0.6055,-0.2291,-0.3881,0.4167,0.3759,1.0,0.2476,-0.3018,-0.1888,-0.3618,0.1745,-0.3512,0.1516
I have to work with students who are not as smart as I am.,-0.1018,0.4577,-0.2582,-0.127,0.1377,-0.134,-0.057,-0.2214,-0.0477,0.3704,-0.0555,-0.1068,0.2687,0.1899,0.2476,1.0,-0.2263,-0.2225,0.0065,0.1905,-0.4541,0.2084
When I work with other students the work is divided equally.,0.3228,-0.4835,0.2843,0.1444,-0.1265,0.345,0.2306,0.3157,0.1294,-0.339,0.2654,0.3247,-0.2992,-0.2314,-0.3018,-0.2263,1.0,0.3515,0.1127,-0.1225,0.2327,-0.1017
We cannot complete the assignment unless everyone contributes.,0.2188,-0.1731,0.165,0.1983,-0.0758,0.3395,0.1243,0.2222,0.0021,-0.1853,0.4101,0.2048,-0.0951,-0.0868,-0.1888,-0.2225,0.3515,1.0,0.1487,-0.1195,0.2676,0.0333
I also learn when I teach the material to my group members.,0.1905,-0.182,0.3368,0.35,-0.2302,0.4955,0.2771,0.3095,0.296,-0.2045,0.3119,0.2755,-0.3467,-0.0462,-0.3618,0.0065,0.1127,0.1487,1.0,-0.0724,0.2594,-0.0077
I become frustrated when my group members do not understand the material.,-0.178,0.1116,-0.1318,-0.1024,0.1745,-0.0478,0.0294,-0.1818,-0.0706,0.047,-0.3456,-0.2233,0.0482,0.2361,0.1745,0.1905,-0.1225,-0.1195,-0.0724,1.0,-0.2318,0.1904
Everyone’s ideas are needed if we are going to be successful.,0.2678,-0.3847,0.3488,0.3974,-0.0335,0.3728,0.362,0.2317,0.1254,-0.2767,0.263,0.24,-0.2684,-0.1039,-0.3512,-0.4541,0.2327,0.2676,0.2594,-0.2318,1.0,-0.122
"When I work with other students, we spend too much time talking about other things.",-0.0549,0.0092,-0.1642,-0.2279,0.0433,-0.1511,-0.0675,-0.1323,-0.079,0.1019,0.0258,-0.1755,0.0524,0.1378,0.1516,0.2084,-0.1017,0.0333,-0.0077,0.1904,-0.122,1.0
