,Mean,Std.Dev.,SD+D,N,SA+A
"When I work in a group, I do higher quality work.",1.0,0.0,1.0,0.0,0.0
"When I work in a group, I end up doing most of the work.",5.0,0.0,0.0,0.0,1.0
The work takes more time to complete when I work with other students.,1.0,0.0,1.0,0.0,0.0
My group members help explain things that I do not understand.,3.0,0.0,0.0,1.0,0.0
"When I work in a group, I am able to share my ideas.",1.0,0.0,1.0,0.0,0.0
My group members make me feel that I am not as smart as they are.,2.0,0.0,1.0,0.0,0.0
The material is easier to understand when I work with other students.,1.0,0.0,1.0,0.0,0.0
The workload is usually less when I work with other students.,1.0,0.0,1.0,0.0,0.0
My group members respect my opinions.,3.0,2.8284,0.5,0.0,0.5
I feel I am part of what is going on in the group.,1.0,0.0,1.0,0.0,0.0
I prefer when one student regularly takes on a leadership role.,3.0,1.4142,0.5,0.0,0.5
I prefer when the leadership role rotates between students.,1.0,0.0,1.0,0.0,0.0
I do not think a group grade is fair.,1.0,0.0,1.0,0.0,0.0
I try to make sure my group members learn the material.,1.0,0.0,1.0,0.0,0.0
I learn to work with students who are different from me.,1.0,0.0,1.0,0.0,0.0
My group members do not care about my feelings.,1.0,0.0,1.0,0.0,0.0
I let the other students do most of the work.,3.0,2.8284,0.5,0.0,0.5
I feel working in groups is a waste of time.,1.0,0.0,1.0,0.0,0.0
I have to work with students who are not as smart as I am.,1.0,0.0,1.0,0.0,0.0
When I work with other students the work is divided equally.,1.0,0.0,1.0,0.0,0.0
We cannot complete the assignment unless everyone contributes.,1.0,0.0,1.0,0.0,0.0
I prefer to take on tasks that I’m already good at.,1.0,0.0,1.0,0.0,0.0
I prefer to take on tasks that will help me better learn the material.,1.0,0.0,1.0,0.0,0.0
I also learn when I teach the material to my group members.,1.0,0.0,1.0,0.0,0.0
I become frustrated when my group members do not understand the material.,1.0,0.0,1.0,0.0,0.0
Everyone’s ideas are needed if we are going to be successful.,1.0,0.0,1.0,0.0,0.0
"When I work with other students, we spend too much time talking about other things.",1.0,0.0,1.0,0.0,0.0
My group did higher quality work when my group members worked on tasks together.,1.0,0.0,1.0,0.0,0.0
My group did higher quality work when group members worked on different tasks at the same time.,1.0,0.0,1.0,0.0,0.0
"You have a certain amount of physics intelligence, and you can’t really do much to change it.",2.9167,1.7678,0.5,0.0,0.5
Your physics intelligence is something about you that you can change.,2.9167,2.9463,0.5,0.0,0.5
"You can learn new things, but you can’t really change your basic physics intelligence.",2.9167,0.5893,0.0,1.0,0.0
