,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,PHY105N,57135,-1.0,0.5,-0.5,-0.5,0.0,1.0,0.5,-0.5,-1.0,0.0,0.5,-0.5,1.0,0.5,0.5,0.5,1.0,0.5,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,Male,,White,,,,,,,,,,,,,"German,Irish,English,Italian,French",,Master’s degree or above,,1.0,Partner Agreements
1,PHY105N,57135,1.0,0.0,-0.5,0.5,0.5,-1.0,0.5,0.5,1.0,1.0,0.0,0.0,-0.5,0.0,0.5,-1.0,-1.0,-1.0,-0.5,0.5,1.0,1.0,1.0,0.5,-0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,Female,,Black or African American,,,,,African American,,,,,,,,,,Bachelor’s degree,,1.0,Partner Agreements
2,PHY105N,57135,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.0,0.5,0.5,-0.5,0.0,0.5,0.5,1.0,0.0,-1.0,-0.5,0.0,1.0,0.5,0.0,0.5,1.0,-0.5,0.5,-0.5,0.5,0.5,1.0,1.0,1.0,Male,,White,,,,,,,,,,,,,"German,Irish",,Bachelor’s degree,,1.0,Partner Agreements
3,PHY105N,57135,0.0,0.0,-1.0,0.0,0.0,-0.5,0.0,0.5,0.5,0.5,0.0,0.0,-0.5,0.0,0.5,-0.5,-0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,-0.5,0.0,0.0,1.0,1.0,1.0,Male,,"Asian,White",,,Korean,,,,,,,,,,German,,Master’s degree or above,,1.0,Partner Agreements
4,PHY105N,57135,0.0,-0.5,0.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,-1.0,-0.5,-1.0,-1.0,1.0,1.0,0.5,0.0,0.5,-1.0,1.0,-0.5,0.5,0.0,0.6,-0.6,0.6,Male,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,High school,,1.0,Partner Agreements
5,PHY105N,57135,0.0,-0.5,-0.5,0.5,1.0,-1.0,-0.5,0.5,1.0,1.0,0.0,0.0,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.5,0.6,1.0,0.6,Female,,"Hispanic, Latino, or Spanish",,,,,,,"Mexican or Mexican American,Some other Hispanic, Latino, or Spanish race or ethnicity
Print, for example, Guatemalan, Spaniard, Ecuadorian, etc.",Spaniard,,,,,,,Associate's or technical degree,,1.0,Partner Agreements
6,PHY105N,57135,-0.5,0.5,-0.5,0.5,1.0,-1.0,-0.5,1.0,1.0,1.0,0.5,0.5,-0.5,-0.5,0.5,0.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,Male,,White,,,,,,,,,,,,,"German,English,Italian",,Master’s degree or above,,1.0,Partner Agreements
7,PHY105N,57135,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,Male,,White,,,,,,,,,,,,,"German,English,French",,Bachelor’s degree,,1.0,Partner Agreements
8,PHY105N,57135,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.5,0.0,1.0,-1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.0,0.6,Prefer not to disclose,,Prefer not to disclose,,,,,,,,,,,,,,,Master’s degree or above,,1.0,Partner Agreements
9,PHY105N,57135,0.5,-0.5,-0.5,1.0,1.0,-1.0,1.0,0.5,0.5,1.0,0.0,0.0,-0.5,0.0,0.5,-1.0,-0.5,-1.0,-1.0,0.5,0.5,0.5,-0.5,0.5,-0.5,1.0,-0.5,0.5,0.0,0.6,0.6,0.2,Male,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,High school,,1.0,Partner Agreements
