"","f1","f2","f3","f4","f5","f6","f7","Course","Intervention","Gender_group","Raceethnicity_group","Education_group"
"1",-0.214285714285714,-1,-1,0.25,-0.4,-0.166666666666667,0.166666666666667,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"2",0.285714285714286,-0.333333333333333,-0.5,-0.0833333333333333,0.6,0.5,0.666666666666667,"PHY105N","Partner Agreements","Woman","SND","Not1stGen"
"3",0.285714285714286,-0.333333333333333,-0.25,-0.0833333333333333,0.4,0.666666666666667,0.833333333333333,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"4",-0.0714285714285714,-0.333333333333333,0,-0.0833333333333333,0.2,0.5,0.166666666666667,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"5",0.285714285714286,-0.6,-1,0.0833333333333333,0.6,0.5,0.333333333333333,"PHY105N","Partner Agreements","Man","SND","1stGen"
"6",-0.142857142857143,-0.0666666666666667,-1,0,0.5,0.166666666666667,0.833333333333333,"PHY105N","Partner Agreements","Woman","SND","1stGen"
"7",-0.0714285714285714,-0.333333333333333,0.5,0.166666666666667,0.2,0.5,0.5,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"8",0.285714285714286,0.0666666666666667,0,0.166666666666667,0,0,0,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"10",0.285714285714286,-0.0666666666666667,-0.75,0,0.2,0.166666666666667,0.333333333333333,"PHY105N","Partner Agreements","Man","SND","1stGen"
"11",0.285714285714286,-0.2,-0.75,0.166666666666667,0.6,0.5,0.5,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"12",0.428571428571429,-0.2,-0.25,0.0833333333333333,0.2,0.166666666666667,0.333333333333333,"PHY105N","Partner Agreements","Man","SND","Not1stGen"
"13",0.214285714285714,-0.2,-0.5,0,0.8,0.5,0.5,"PHY105N","Partner Agreements","Woman","SND","1stGen"
"14",0.642857142857143,-1,-0.5,0.0833333333333333,1,0.166666666666667,1,"PHY105M","Control","Man","SND","Not1stGen"
"15",0.285714285714286,-0.2,-0.5,0,0.3,0.333333333333333,-0.166666666666667,"PHY105M","Control","Man","SD","Not1stGen"
"16",-0.0714285714285714,-0.0666666666666667,-0.5,0,0.2,-0.166666666666667,0.666666666666667,"PHY105M","Control","Woman","SND","Not1stGen"
"17",0.214285714285714,-0.2,-1,-0.166666666666667,0.1,0.5,0.333333333333333,"PHY105M","Control","Woman","SD","Not1stGen"
"18",0.428571428571429,0.466666666666667,0.5,0.25,0.4,0,0.666666666666667,"PHY105M","Control","Man","SD","Not1stGen"
"19",0.357142857142857,0.2,0.25,0.166666666666667,0.7,-0.166666666666667,0.333333333333333,"PHY105M","Control","Woman","SND","1stGen"
"20",0.285714285714286,-0.2,-0.75,-0.166666666666667,0.6,0.166666666666667,0.5,"PHY105M","Control","Woman","Mixed","Not1stGen"
"21",0.214285714285714,-0.0666666666666667,-0.75,0.333333333333333,0.3,0.166666666666667,0.5,"PHY105M","Control","Man","SND","Not1stGen"
"22",0.142857142857143,0.0666666666666667,-0.5,0.0833333333333333,0.4,0.333333333333333,0.333333333333333,"PHY105M","Control","Man","SD","Not1stGen"
"23",0,0.2,0,0,0,0,0,"PHY105M","Control","Man","SD","Not1stGen"
"24",0.142857142857143,-0.0666666666666667,-0.25,0.166666666666667,0.2,0,0.166666666666667,"PHY105M","Control","Woman","SND","Not1stGen"
"25",0.5,-0.333333333333333,-0.75,0.0833333333333333,0.7,-0.333333333333333,0.833333333333333,"PHY105M","Control","Man","SND","Not1stGen"
"26",0.357142857142857,-0.2,0,0,0.6,0,0.5,"PHY105M","Control","Woman","SD","Not1stGen"
"27",0.428571428571429,-0.333333333333333,-1,0.0833333333333333,0.7,0.166666666666667,0.5,"PHY105M","Control","Woman","Mixed","Not1stGen"
"28",0.571428571428571,0.0666666666666667,-0.5,0.166666666666667,0.6,0.5,0.666666666666667,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"29",-0.0714285714285714,-0.333333333333333,-1,-0.0833333333333333,0.3,-0.333333333333333,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"30",0.214285714285714,-0.466666666666667,-1,0,0.8,0,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","Mixed","Not1stGen"
"31",0.0714285714285714,-0.0666666666666667,-0.5,0.0833333333333333,-0.1,0.333333333333333,0,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"32",0.285714285714286,0.2,-0.75,0.166666666666667,0.5,0.333333333333333,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"33",0.357142857142857,-0.333333333333333,-0.75,0,1,0.333333333333333,0.833333333333333,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"34",0.357142857142857,-0.466666666666667,-0.25,-0.0833333333333333,0.3,0,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SND","1stGen"
"35",0.357142857142857,-0.333333333333333,-0.75,0.333333333333333,0.8,0,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"37",0.0714285714285714,-0.0666666666666667,0.5,0.0833333333333333,0.5,0,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"38",0.285714285714286,-0.2,-0.25,0,0.1,0.333333333333333,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"39",0.214285714285714,-0.0666666666666667,0,0.0833333333333333,0.4,0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SND","1stGen"
"40",0.142857142857143,-0.333333333333333,0.5,0.25,0.4,0.5,1,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"41",0.357142857142857,0.6,0,0.333333333333333,0.6,0.666666666666667,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"43",0.214285714285714,-0.0666666666666667,0,0.0833333333333333,0.1,0,0.5,"PHY105N","Control","Woman","SD","Not1stGen"
"44",0.0714285714285714,-1,-0.5,-0.0833333333333333,-0.1,0.166666666666667,0.166666666666667,"PHY105N","Control","Man","SD","Not1stGen"
"45",0.214285714285714,0.2,-0.5,0.0833333333333333,0.1,0,0.5,"PHY105N","Control","Woman","SND","Not1stGen"
"46",-0.142857142857143,0.333333333333333,-0.5,0.166666666666667,0,0,-0.166666666666667,"PHY105N","Control","Other","SD","Not1stGen"
"47",0.428571428571429,-0.333333333333333,-1,0.166666666666667,0.7,0.5,1,"PHY105N","Control","Woman","SD","Not1stGen"
"48",0.0714285714285714,0.0666666666666667,-1,0.25,-0.4,-0.666666666666667,0.833333333333333,"PHY105N","Control","Woman","Mixed","Not1stGen"
"49",0.0714285714285714,0.0666666666666667,0,0.0833333333333333,0.1,-0.166666666666667,0.5,"PHY105N","Control","Man","SD","Not1stGen"
"50",0.357142857142857,0.0666666666666667,-0.25,0.333333333333333,0.6,-0.333333333333333,0.5,"PHY105N","Control","Woman","SND","Not1stGen"
"51",0,-0.2,-0.25,-0.0833333333333333,0.4,0.166666666666667,0.333333333333333,"PHY105N","Control","Woman","SD","Not1stGen"
"52",0.642857142857143,-0.333333333333333,-0.75,0,1,0.333333333333333,1,"PHY105N","Control","Man","SD","Not1stGen"
"53",0.0714285714285714,-0.466666666666667,-0.5,-0.166666666666667,-0.3,0.166666666666667,0.5,"PHY105N","Control","Woman","SD","1stGen"
"54",0.0714285714285714,-0.333333333333333,0,0.0833333333333333,0.2,-0.666666666666667,0.666666666666667,"PHY105N","Control","Man","SD","Not1stGen"
"55",0.0714285714285714,-0.333333333333333,-0.5,0.0833333333333333,0.3,0.166666666666667,0.666666666666667,"PHY105N","Control","Man","SD","Not1stGen"
"56",0.142857142857143,-0.2,-1,0,0.5,-0.333333333333333,1,"PHY105M","Control","Man","Mixed","Not1stGen"
"57",0.0714285714285714,-1,-0.5,-0.25,0.4,-0.333333333333333,0.333333333333333,"PHY105M","Control","Woman","SND","Not1stGen"
