,0,1,2,3,0,1,2,3,errs
When I work in a group I do higher quality work.,0.9313,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.6128
The material is easier to understand when I work with other students.,-0.0597,0.0,0.0,0.0,0.81,0.0,0.0,0.0,1.752
My group members help explain things that I do not understand.,0.9658,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4648
I feel working in groups is a waste of time.,0.5791,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3144
The work takes more time to complete when I work with other students.,0.1325,0.0,0.0,0.0,0.54,0.0,0.0,0.0,1.3874
The workload is usually less when I work with other students.,0.9357,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.5124
My group members respect my opinions.,0.0,0.7874,0.0,0.0,0.0,0.7,0.0,0.0,0.9495
My group members make me feel that I am not as smart as they are.,0.0,0.6947,0.0,0.0,0.0,0.66,0.0,0.0,0.2815
My group members do not care about my feelings.,0.0,0.6313,0.0,0.0,0.0,0.66,0.0,0.0,0.2164
I feel I am part of what is going on in the group.,0.0,0.7421,0.0,0.0,0.0,0.62,0.0,0.0,0.4363
"When I work in a group, I am able to share my ideas.",0.0,-0.3297,0.0,0.0,0.0,0.6,0.0,0.0,1.4068
Everyone’s ideas are needed if we are going to be successful.,0.0,0.0,0.6273,0.0,0.0,0.0,0.63,0.0,0.9857
We cannot complete the assignment unless everyone contributes.,0.0,0.0,0.6162,0.0,0.0,0.0,0.53,0.0,1.0393
I let the other students do most of the work.,0.0,0.0,0.7788,0.0,0.0,0.0,0.5,0.0,1.099
I also learn when I teach the material to my group members.,0.0,0.0,0.5691,0.0,0.0,0.0,0.49,0.0,1.5938
I learn to work with students who are different from me.,0.0,0.0,0.0413,0.0,0.0,0.0,0.41,0.0,0.8995
I become frustrated when my group members do not understand the material.,0.0,0.0,0.0,0.6256,0.0,0.0,0.0,0.51,1.1514
"When I work with other students, we spend too much time talking about other things.",0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.49,1.1961
I have to work with students who are not as smart as I am.,0.0,0.0,0.0,0.5469,0.0,0.0,0.0,0.43,0.6828
