,0,1,2,3,0,1,2,3,errs
When I work in a group I do higher quality work.,0.4024,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.76
My group members help explain things that I do not understand.,0.572,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.5415
I feel working in groups is a waste of time.,0.3913,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.9206
The workload is usually less when I work with other students.,0.4993,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.8277
My group members respect my opinions.,0.0,0.6044,0.0,0.0,0.0,0.7,0.0,0.0,0.2927
My group members make me feel that I am not as smart as they are.,0.0,0.4684,0.0,0.0,0.0,0.66,0.0,0.0,0.3766
My group members do not care about my feelings.,0.0,0.6842,0.0,0.0,0.0,0.66,0.0,0.0,0.4723
I feel I am part of what is going on in the group.,0.0,0.3346,0.0,0.0,0.0,0.62,0.0,0.0,0.8827
Everyone’s ideas are needed if we are going to be successful.,0.0,0.0,0.6185,0.0,0.0,0.0,0.63,0.0,0.6471
We cannot complete the assignment unless everyone contributes.,0.0,0.0,0.4476,0.0,0.0,0.0,0.53,0.0,0.9763
I let the other students do most of the work.,0.0,0.0,0.37,0.0,0.0,0.0,0.5,0.0,1.3607
I also learn when I teach the material to my group members.,0.0,0.0,0.3826,0.0,0.0,0.0,0.49,0.0,0.5302
I become frustrated when my group members do not understand the material.,0.0,0.0,0.0,0.5266,0.0,0.0,0.0,0.51,1.0068
I have to work with students who are not as smart as I am.,0.0,0.0,0.0,0.589,0.0,0.0,0.0,0.43,0.6145
