,"When I work in a group, I do higher quality work.","When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence."
"When I work in a group, I do higher quality work.",1.0,-0.1899,-0.2833,0.3433,0.3135,-0.0481,0.4202,0.2965,0.1601,0.1801,-0.0222,0.1939,-0.1996,0.2115,0.2384,-0.2081,-0.0718,-0.347,-0.158,0.2526,0.2137,0.0779,0.1266,0.1905,-0.1843,0.294,-0.0783,0.2571,0.1463,0.0698,0.0866,0.0494
"When I work in a group, I end up doing most of the work.",-0.1899,1.0,0.4027,-0.3528,-0.1475,0.0407,-0.3183,-0.372,-0.1928,-0.0801,0.1216,-0.1373,0.3836,-0.0951,-0.1765,0.2886,-0.052,0.4046,0.3758,-0.5112,-0.2161,-0.025,-0.0281,-0.0818,0.3138,-0.2206,0.1234,-0.1675,-0.0579,-0.0739,-0.0651,-0.0846
The work takes more time to complete when I work with other students.,-0.2833,0.4027,1.0,-0.3328,-0.2745,0.1192,-0.3968,-0.4075,-0.2323,-0.2006,0.0002,-0.0701,0.3222,-0.0902,-0.2321,0.2579,0.0861,0.4384,0.2662,-0.326,-0.1475,-0.1011,-0.0499,-0.174,0.2442,-0.231,0.1979,-0.1821,-0.1043,-0.1598,-0.1382,-0.1439
My group members help explain things that I do not understand.,0.3433,-0.3528,-0.3328,1.0,0.4735,-0.2085,0.5059,0.367,0.4179,0.389,-0.037,0.1635,-0.2621,0.2825,0.3771,-0.4254,-0.1769,-0.4351,-0.2594,0.3931,0.2265,0.1816,0.2104,0.3357,-0.2797,0.3997,-0.1573,0.2942,0.1563,0.1875,0.1776,0.1745
"When I work in a group, I am able to share my ideas.",0.3135,-0.1475,-0.2745,0.4735,1.0,-0.3938,0.3607,0.2762,0.4909,0.5141,0.0191,0.1125,-0.1522,0.3209,0.4319,-0.4414,-0.273,-0.3829,-0.1984,0.2656,0.1519,0.2052,0.274,0.4047,-0.2635,0.3531,-0.2434,0.2503,0.1569,0.2885,0.2823,0.2932
My group members make me feel that I am not as smart as they are.,-0.0481,0.0407,0.1192,-0.2085,-0.3938,1.0,-0.157,-0.1109,-0.4994,-0.3926,-0.043,-0.0526,0.1007,-0.21,-0.2306,0.3872,0.3062,0.2112,0.1262,-0.125,0.0218,-0.1207,-0.1829,-0.2605,0.2117,-0.1554,0.2229,-0.1574,-0.0754,-0.2896,-0.2593,-0.2894
The material is easier to understand when I work with other students.,0.4202,-0.3183,-0.3968,0.5059,0.3607,-0.157,1.0,0.4986,0.3652,0.3086,-0.0149,0.1971,-0.2898,0.2693,0.3613,-0.3675,-0.1421,-0.5039,-0.2364,0.375,0.2069,0.2079,0.1947,0.3181,-0.283,0.4236,-0.1604,0.3374,0.1942,0.1197,0.1176,0.0977
The workload is usually less when I work with other students.,0.2965,-0.372,-0.4075,0.367,0.2762,-0.1109,0.4986,1.0,0.3088,0.2303,0.0233,0.0854,-0.2907,0.145,0.2701,-0.2864,-0.0885,-0.4247,-0.1956,0.4215,0.2014,0.2394,0.0961,0.2167,-0.1925,0.2718,-0.0966,0.2533,0.148,0.1077,0.1331,0.0929
My group members respect my opinions.,0.1601,-0.1928,-0.2323,0.4179,0.4909,-0.4994,0.3652,0.3088,1.0,0.5031,0.0845,0.1129,-0.223,0.314,0.3608,-0.5514,-0.2907,-0.3964,-0.2015,0.3103,0.1136,0.1901,0.2037,0.3422,-0.2679,0.3076,-0.2309,0.2433,0.1297,0.2606,0.2923,0.2349
I feel I am part of what is going on in the group.,0.1801,-0.0801,-0.2006,0.389,0.5141,-0.3926,0.3086,0.2303,0.5031,1.0,0.0242,0.1344,-0.1278,0.358,0.4053,-0.382,-0.3684,-0.3077,-0.0991,0.2247,0.0968,0.1979,0.2925,0.442,-0.1993,0.354,-0.2597,0.2164,0.148,0.2707,0.2907,0.2486
