Course,Unique,"When I work in a group, I do higher quality work.","When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence.",Gender,Gender - Text,Raceethnicity,Raceethnicity - Text,Native,Asian,Asian - Text,Black,Black - Text,Latino,Latino - Text,MiddleEast,MiddleEast - Text,Pacific,Pacific - Text,White,White - Text,Education,Education - Text,Intervention Number,Intervention
PHY105N,57135,-1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,-1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,Male,,White,,,,,,,,,,,,,"German,Irish,English,Italian,French",,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57135,1.0,0.0,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.5,-1.0,-1.0,-1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,Female,,Black or African American,,,,,African American,,,,,,,,,,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57135,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,-1.0,0.5,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,Male,,White,,,,,,,,,,,,,"German,Irish",,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57135,0.0,0.0,-1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,Male,,"Asian,White",,,Korean,,,,,,,,,,German,,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57135,0.0,0.5,0.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,-1.0,0.5,-1.0,-1.0,1.0,1.0,0.5,0.0,0.5,-1.0,1.0,0.5,0.5,0.0,0.6,-0.6,0.6,Male,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,High school,,1.0,Partner Agreements
PHY105N,57135,0.0,0.5,0.5,0.5,1.0,-1.0,0.5,0.5,1.0,1.0,0.0,0.0,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.5,0.6,1.0,0.6,Female,,"Hispanic, Latino, or Spanish",,,,,,,"Mexican or Mexican American,Some other Hispanic, Latino, or Spanish race or ethnicity
Print, for example, Guatemalan, Spaniard, Ecuadorian, etc.",Spaniard,,,,,,,Associate's or technical degree,,1.0,Partner Agreements
PHY105N,57135,0.5,0.5,0.5,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,Male,,White,,,,,,,,,,,,,"German,English,Italian",,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57135,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,Male,,White,,,,,,,,,,,,,"German,English,French",,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57135,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.5,0.0,1.0,-1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.0,0.6,Prefer not to disclose,,Prefer not to disclose,,,,,,,,,,,,,,,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57135,0.5,0.5,0.5,1.0,1.0,-1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,-1.0,0.5,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.6,0.6,0.2,Male,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,High school,,1.0,Partner Agreements
