,Mean,Std.Dev.,SD+D,N,SA+A
"When I work in a group, I do higher quality work.",0.2577,0.4802,0.1385,0.3351,0.5263
"When I work in a group, I end up doing most of the work.",0.0093,0.5544,0.3142,0.3553,0.3305
The work takes more time to complete when I work with other students.,-0.1903,0.5759,0.5155,0.2457,0.2388
My group members help explain things that I do not understand.,0.4946,0.4656,0.0783,0.1457,0.776
"When I work in a group, I am able to share my ideas.",0.6158,0.3877,0.0248,0.1115,0.8637
My group members make me feel that I am not as smart as they are.,-0.4833,0.5192,0.6773,0.2341,0.0886
The material is easier to understand when I work with other students.,0.4805,0.4703,0.0786,0.1658,0.7556
The workload is usually less when I work with other students.,0.4452,0.5188,0.1089,0.1625,0.7286
My group members respect my opinions.,0.609,0.5149,0.0251,0.1322,0.8199
I feel I am part of what is going on in the group.,0.6628,0.3863,0.0217,0.1093,0.869
I prefer when one student regularly takes on a leadership role.,0.0597,0.5632,0.2439,0.3693,0.3678
I prefer when the leadership role rotates between students.,0.1534,0.4879,0.1805,0.4098,0.4098
I do not think a group grade is fair.,-0.0903,0.5593,0.424,0.2915,0.2845
I try to make sure my group members learn the material.,0.3293,0.4662,0.1047,0.2863,0.609
I learn to work with students who are different from me.,0.5423,0.4277,0.0411,0.1685,0.7904
My group members do not care about my feelings.,-0.5205,0.4852,0.7119,0.2254,0.0627
I let the other students do most of the work.,-0.5923,0.5115,0.7485,0.1672,0.0638
I feel working in groups is a waste of time.,-0.471,0.5091,0.7012,0.2028,0.096
I have to work with students who are not as smart as I am.,-0.2568,0.5439,0.4615,0.3745,0.1639
When I work with other students the work is divided equally.,0.2791,0.5753,0.2143,0.1693,0.6165
We cannot complete the assignment unless everyone contributes.,0.1968,0.6119,0.2686,0.2104,0.521
I prefer to take on tasks that I’m already good at.,0.5291,0.4071,0.042,0.1546,0.8034
I prefer to take on tasks that will help me better learn the material.,0.3833,0.4364,0.0623,0.2887,0.649
I also learn when I teach the material to my group members.,0.5794,0.4112,0.0325,0.1479,0.8195
I become frustrated when my group members do not understand the material.,-0.2649,0.5675,0.5283,0.2467,0.225
Everyone’s ideas are needed if we are going to be successful.,0.4988,0.4906,0.0901,0.1607,0.7492
"When I work with other students, we spend too much time talking about other things.",-0.4818,0.4737,0.7236,0.1925,0.0839
My group did higher quality work when my group members worked on tasks together.,0.3398,0.4872,0.1148,0.2855,0.5997
My group did higher quality work when group members worked on different tasks at the same time.,0.2867,0.4916,0.135,0.3196,0.5454
"You have a certain amount of physics intelligence, and you can’t really do much to change it.",0.5452,0.4343,0.0311,0.2763,0.6926
Your physics intelligence is something about you that you can change.,0.4858,0.4935,0.0747,0.2545,0.6708
"You can learn new things, but you can’t really change your basic physics intelligence.",0.4698,0.4658,0.0475,0.3263,0.6262
