,0,1,2,3,4,5
"When I work in a group, I do higher quality work.",0.0,0.0,0.0,0.0,0.423,0.0
"When I work in a group, I end up doing most of the work.",0.7476,0.0,0.0,0.0,0.0,0.0
The work takes more time to complete when I work with other students.,0.4896,0.0,0.0,0.0,0.0,0.0
My group members help explain things that I do not understand.,0.0,0.0,0.0,0.0,0.0,0.0
"When I work in a group, I am able to share my ideas.",0.0,0.0,0.4319,0.0,0.0,0.0
My group members make me feel that I am not as smart as they are.,0.0,0.0,-0.6049,0.0,0.0,0.0
The material is easier to understand when I work with other students.,0.0,0.0,0.0,0.0,0.4756,0.0
The workload is usually less when I work with other students.,-0.5821,0.0,0.0,0.0,0.0,0.0
My group members respect my opinions.,0.0,0.0,0.7101,0.0,0.0,0.0
I feel I am part of what is going on in the group.,0.0,0.4776,0.454,0.0,0.0,0.0
I prefer when one student regularly takes on a leadership role.,0.0,0.0,0.0,0.0,0.0,0.0
I prefer when the leadership role rotates between students.,0.0,0.0,0.0,0.0,0.0,0.0
I do not think a group grade is fair.,0.4695,0.0,0.0,0.0,0.0,0.0
I try to make sure my group members learn the material.,0.0,0.5354,0.0,0.0,0.0,0.0
I learn to work with students who are different from me.,0.0,0.5002,0.0,0.0,0.0,0.0
My group members do not care about my feelings.,0.0,0.0,-0.5161,0.0,0.0,0.0
I let the other students do most of the work.,0.0,0.0,0.0,0.0,0.0,0.0
I feel working in groups is a waste of time.,0.4768,0.0,0.0,0.0,0.0,0.0
I have to work with students who are not as smart as I am.,0.0,0.0,0.0,0.0,0.0,0.5405
When I work with other students the work is divided equally.,-0.6621,0.0,0.0,0.0,0.0,0.0
We cannot complete the assignment unless everyone contributes.,0.0,0.0,0.0,0.0,0.0,0.0
I prefer to take on tasks that I’m already good at.,0.0,0.0,0.0,0.0,0.0,0.0
I prefer to take on tasks that will help me better learn the material.,0.0,0.4702,0.0,0.0,0.0,0.0
I also learn when I teach the material to my group members.,0.0,0.5544,0.0,0.0,0.0,0.0
I become frustrated when my group members do not understand the material.,0.0,0.0,0.0,0.0,0.0,0.4834
Everyone’s ideas are needed if we are going to be successful.,0.0,0.5222,0.0,0.0,0.0,0.0
"When I work with other students, we spend too much time talking about other things.",0.0,0.0,0.0,0.0,0.0,0.0
My group did higher quality work when my group members worked on tasks together.,0.0,0.0,0.0,0.0,0.0,0.0
My group did higher quality work when group members worked on different tasks at the same time.,0.0,0.0,0.0,0.0,0.0,0.0
"You have a certain amount of physics intelligence, and you can’t really do much to change it.",0.0,0.0,0.0,0.8218,0.0,0.0
Your physics intelligence is something about you that you can change.,0.0,0.0,0.0,0.4364,0.0,0.0
"You can learn new things, but you can’t really change your basic physics intelligence.",0.0,0.0,0.0,0.8469,0.0,0.0
