StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q2.2,Q2.3,Q2.4,Q2.6,Q2.7,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q7.2,Q7.3,Q7.4,Q7.5,Q7.6,Q7.7,Q8.2,Q8.3,Q8.4,Q9.2,Q9.2_4_TEXT,Q9.3,Q9.3_7_TEXT,Q9.3a,Q9.3b,Q9.3b_10_TEXT,Q9.3c,Q9.3c_10_TEXT,Q9.3d,Q9.3d_10_TEXT,Q9.3e,Q9.3e_10_TEXT,Q9.3f,Q9.3f_10_TEXT,Q9.3g,Q9.3g_10_TEXT,Q9.4,Q9.4_4_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Which course are you currently enrolled in?,What is your section's unique number?,"When I work in a group, I do higher quality work.","When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,My group members do not respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when no one takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I do not let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence.",Which gender(s) do you most identify (select all that apply)? - Selected Choice,Which gender(s) do you most identify (select all that apply)? - Other (please specify): - Text,What is your race or ethnicity (select all that apply)? - Selected Choice,What is your race or ethnicity (select all that apply)? - Some other race or ethnicity - Text,"American Indian or Alaska Native - Provide details below.

Print, for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Tlingit, etc.",Asian - Provide details below. - Selected Choice,"Asian - Provide details below. - Some other Asian race or ethnicity

Print, for example, Pakistani, Cambodian, Hmong, etc. - Text",Black or African American - Provide details below. - Selected Choice,"Black or African American - Provide details below. - Some other Black or African American race or ethnicity

Print, for example, Ghanaian, South African, Barbadian, etc. - Text","Hispanic, Latino, or Spanish - Provide details below. - Selected Choice","Hispanic, Latino, or Spanish - Provide details below. - Some other Hispanic, Latino, or Spanish race or ethnicity

Print, for example, Guatemalan, Spaniard, Ecuadorian, etc. - Text",Middle Eastern or North African - Provide details below. - Selected Choice,"Middle Eastern or North African - Provide details below. - Some other Middle Eastern or North African race or ethnicity

Print, for example, Algerian, Iraqi, Kurdish, etc.</spa - Text",Native Hawaiian or Other Pacific Islander - Provide details below. - Selected Choice,"Native Hawaiian or Other Pacific Islander - Provide details below. - Some other Native Hawaiian or Other Pacific Islander race or ethnicity

Print, for example, Palauan, Tahitian, Chuukese, etc.</spa - Text",White - Provide details below. - Selected Choice,"White - Provide details below. - Some other White race or ethnicity

Print, for example, Scottish, Norwegian, Dutch, etc.</spa - Text",What is the highest level of education either of your parents have achieved? - Selected Choice,What is the highest level of education either of your parents have achieved? - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID67""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID6""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID52""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID45""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID46""}","{""ImportId"":""QID73""}","{""ImportId"":""QID48""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_4_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_7_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_10_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_10_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_10_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID64_10_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_10_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID66_10_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_4_TEXT""}"
11/27/2022 23:00,11/27/2022 23:04,IP Address,100,245,TRUE,11/27/2022 23:04,R_2UftJUznswZkZ9v,anonymous,EN,PHY105N,57135,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,,Neither agree nor disagree,Somewhat agree,,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Male,,White,,,,,,,,,,,,,"German,Irish,English,Italian,French",,Master’s degree or above,
11/27/2022 23:31,11/27/2022 23:34,IP Address,100,206,TRUE,11/27/2022 23:34,R_3n9mmy9aJ9dZqQ2,anonymous,EN,PHY105M,57019,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Somewhat disagree,,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Male,,Black or African American,,,,,"Some other Black or African American race or ethnicity
Print, for example, Ghanaian, South African, Barbadian, etc.",Dominican,,,,,,,,,I'm not sure,
11/27/2022 23:54,11/27/2022 23:57,IP Address,100,177,TRUE,11/27/2022 23:57,R_72v6Uev06c4PwCB,anonymous,EN,PHY105M,56900,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat agree,Strongly agree,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Agree,Somewhat disagree,Male,,Asian,,,Asian Indian,,,,,,,,,,,,Bachelor’s degree,
11/28/2022 3:49,11/28/2022 3:54,IP Address,100,256,TRUE,11/28/2022 3:54,R_sijjHY5A29flcrv,anonymous,EN,PHY105N,57155,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Prefer not to disclose,,Prefer not to disclose,,,,,,,,,,,,,,,Prefer not to answer,
11/28/2022 8:01,11/28/2022 8:07,IP Address,100,372,TRUE,11/28/2022 8:07,R_qRA0hDxnNsdiAmt,anonymous,EN,PHY105M,57027,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,,Strongly disagree,Strongly agree,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Male,,"Hispanic, Latino, or Spanish,White",,,,,,,"Some other Hispanic, Latino, or Spanish race or ethnicity
Print, for example, Guatemalan, Spaniard, Ecuadorian, etc.",Panamanian,,,,,English,,Bachelor’s degree,
11/28/2022 8:42,11/28/2022 8:47,IP Address,100,269,TRUE,11/28/2022 8:47,R_2TuGbtr4qDqR0Xw,anonymous,EN,PHY105M,56810,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Female,,"Hispanic, Latino, or Spanish,White",,,,,,,Mexican or Mexican American,,,,,,German,,Master’s degree or above,
11/28/2022 8:54,11/28/2022 8:57,IP Address,100,231,TRUE,11/28/2022 8:57,R_5sCYdRz6MNwyASd,anonymous,EN,PHY105M,56810,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,Somewhat disagree,Strongly disagree,,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Male,,Asian,,,Vietnamese,,,,,,,,,,,,Bachelor’s degree,
11/28/2022 8:59,11/28/2022 9:03,IP Address,100,239,TRUE,11/28/2022 9:03,R_xuctFVccuAnIs49,anonymous,EN,PHY105N,57175,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,,Strongly disagree,Strongly agree,,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
