,0,1,2,3
When I work in a group I do higher quality work.,0.4969,0.0,0.0,0.0
The material is easier to understand when I work with other students.,0.6627,0.0,0.0,0.0
My group members help explain things that I do not understand.,0.5547,0.0,0.0,0.0
I feel working in groups is a waste of time.,-0.1811,0.0,0.0,0.0
The workload is usually less when I work with other students.,0.7517,0.0,0.0,0.0
My group members respect my opinions.,0.0,0.3591,0.0,0.0
My group members make me feel that I am not as smart as they are.,0.0,0.5562,0.0,0.0
My group members do not care about my feelings.,0.0,0.2731,0.0,0.0
I feel I am part of what is going on in the group.,0.0,0.4622,0.0,0.0
"When I work in a group, I am able to share my ideas.",0.0,-0.7526,0.0,0.0
Everyone’s ideas are needed if we are going to be successful.,0.0,0.0,0.2494,0.0
We cannot complete the assignment unless everyone contributes.,0.0,0.0,0.6031,0.0
I let the other students do most of the work.,0.0,0.0,0.4025,0.0
I also learn when I teach the material to my group members.,0.0,0.0,-0.3373,0.0
I learn to work with students who are different from me.,0.0,0.0,-0.4248,0.0
I become frustrated when my group members do not understand the material.,0.0,0.0,0.0,-0.2163
I have to work with students who are not as smart as I am.,0.0,0.0,0.0,0.7823
