,Mean (male),Std.Err. (male),Mean (female),Std.Err. (female)
When I work in a group I do higher quality work.,3.7561,0.1387,3.7091,0.1365
"When I work in a group, I end up doing most of the work.",2.9024,0.1808,2.8909,0.1437
The work takes more time to complete when I work with other students.,2.4211,0.2993,2.3846,0.1846
The work takes less time to complete when I work with other students.,4.3182,0.1211,4.2414,0.1834
My group members help explain things that I do not understand.,4.0976,0.1148,4.2545,0.1138
"When I work in a group, I am able to share my ideas.",4.4634,0.0862,4.4182,0.0887
My group members make me feel that I am not as smart as they are.,2.0732,0.1689,1.7818,0.1341
The material is easier to understand when I work with other students.,3.8537,0.1583,4.1455,0.1173
The workload is usually less when I work with other students.,3.878,0.1682,3.9273,0.1213
My group members respect my opinions.,4.3,0.1638,4.6296,0.1211
My group members do not respect my opinions.,1.6667,0.2423,1.4286,0.1739
I feel I am part of what is going on in the group.,4.1463,0.1333,4.4727,0.093
I prefer when one student regularly takes on a leadership role.,3.05,0.2112,3.1786,0.1548
I prefer when no one takes on a leadership role.,3.0,0.2289,3.0741,0.1843
I prefer when the leadership role rotates between students.,3.2927,0.1492,3.3455,0.1403
I do not think a group grade is fair.,2.5854,0.1674,2.5818,0.1506
I try to make sure my group members learn the material.,3.6098,0.1517,3.8545,0.1019
I learn to work with students who are different from me.,4.0732,0.1456,4.2545,0.1108
My group members do not care about my feelings.,2.0,0.1638,1.7091,0.1208
I let the other students do most of the work.,1.4783,0.1387,1.5862,0.1531
I do not let the other students do most of the work.,4.1667,0.283,4.0,0.2219
I feel working in groups is a waste of time.,1.9756,0.1656,1.8909,0.118
I have to work with students who are not as smart as I am.,2.7317,0.1976,2.4364,0.153
When I work with other students the work is divided equally.,3.7561,0.1473,3.5091,0.1532
We cannot complete the assignment unless everyone contributes.,3.25,0.1953,3.6727,0.1642
I prefer to take on tasks that I’m already good at.,4.0556,0.171,4.0741,0.1405
I prefer to take on tasks that will help me better learn the material.,4.1739,0.1622,3.7857,0.1573
I also learn when I teach the material to my group members.,4.1707,0.1597,4.3818,0.1085
I become frustrated when my group members do not understand the material.,2.439,0.164,2.2,0.1477
Everyone’s ideas are needed if we are going to be successful.,3.9268,0.176,4.1852,0.127
"When I work with other students, we spend too much time talking about other things.",2.1951,0.1531,1.9636,0.1188
My group did higher quality work when my group members worked on tasks together.,3.7317,0.1601,3.8,0.1358
My group did higher quality work when group members worked on different tasks at the same time.,3.561,0.164,3.4,0.1338
"You have a certain amount of physics intelligence, and you can’t really do much to change it.",1.9756,0.1831,2.1455,0.1334
Your physics intelligence is something about you that you can’t change very much.,1.9024,0.1938,2.0182,0.1203
"You can learn new things, but you can’t really change your basic physics intelligence.",1.9024,0.1668,2.1091,0.1414
