,UT Austin,,,,,KourosAbrami2006,,,,,,
,Mean,Std.Dev.,SD+D,N,SA+A,Mean,Std.Dev.,SD+D,N,SA+A,,t-score
When I work in a group I do higher quality work.,3.6931,0.9565,0.099,0.3267,0.5743,3.36,1.06,25.7,15.1,59.2,,3.282869816
"When I work in a group, I end up doing most of the work.",2.8911,1.0945,0.3465,0.396,0.2574,3.13,1.07,31.1,23.9,44.9,,-2.08138316
The work takes more time to complete when I work with other students.,2.4082,1.0591,0.5714,0.2857,0.1429,3.14,1.17,34.7,20.5,44.7,,-6.51567639
The work takes less time to complete when I work with other students.,4.2308,0.8771,0.0577,0.0577,0.8846,,,,,,,
My group members help explain things that I do not understand.,4.1683,0.8009,0.0297,0.1287,0.8416,3.84,0.94,11.2,11.4,77.5,,3.840332656
"When I work in a group, I am able to share my ideas.",4.4158,0.6367,0.0099,0.0495,0.9406,3.91,0.81,6.6,12,81.4,,7.369783816
My group members make me feel that I am not as smart as they are.,1.9604,1.067,0.7228,0.1881,0.0891,3.92,1,9.7,14.3,76,,-17.57084257
The material is easier to understand when I work with other students.,3.9901,0.9539,0.099,0.1584,0.7426,3.65,1,16.6,15.9,67.4,,3.37923182
The workload is usually less when I work with other students.,3.8431,1.0316,0.1078,0.1765,0.7157,3.63,1.08,19.4,14.9,65.7,,1.958124971
My group members respect my opinions.,4.3922,0.7766,0.0196,0.1176,0.8627,,,,,,,
My group members do not respect my opinions.,1.5294,0.987,0.8824,0.0588,0.0588,3.89,0.89,7.4,17.5,75,,-22.9464204
I feel I am part of what is going on in the group.,4.2772,0.8139,0.0297,0.1089,0.8614,3.94,0.82,6.6,17.6,82.4,,3.940690211
I prefer when one student regularly takes on a leadership role.,3.1,0.8631,0.22,0.5,0.28,,,,,,,
I prefer when no one takes on a leadership role.,3.0392,0.9583,0.2941,0.3922,0.3137,,,,,,,
I prefer when the leadership role rotates between students.,3.3168,0.9993,0.1881,0.3861,0.4257,,,,,,,
I do not think a group grade is fair.,2.6238,1.0941,0.495,0.2673,0.2376,2.9,1.27,40.8,23.7,35.5,,-2.368003543
I try to make sure my group members learn the material.,3.703,0.8665,0.0792,0.297,0.6238,3.68,0.86,11.1,17.3,71.7,,0.252795005
I learn to work with students who are different from me.,4.1584,0.8687,0.0396,0.1287,0.8317,3.55,0.96,14.7,20.6,64.7,,6.604013036
My group members do not care about my feelings.,1.8812,1.0128,0.7228,0.2178,0.0594,3.78,1.01,11,19.7,69.4,,-17.84804615
I let the other students do most of the work.,1.5741,0.7673,0.8333,0.1667,0,4.06,0.95,8.4,11.2,80.4,,-30.16019425
I do not let the other students do most of the work.,4.0638,1.1307,0.1064,0.1489,0.7447,,,,,,,
I feel working in groups is a waste of time.,1.9604,0.9478,0.7624,0.1584,0.0792,3.82,1.15,15.3,14.3,70.4,,-18.31020413
I have to work with students who are not as smart as I am.,2.5446,1.1876,0.4455,0.3465,0.2079,3.29,1.13,25.3,27.1,47.6,,-5.99799447
When I work with other students the work is divided equally.,3.5743,1.0616,0.1584,0.1782,0.6634,3.11,1.17,35.6,17.9,46.6,,4.125208083
We cannot complete the assignment unless everyone contributes.,3.49,1.2268,0.23,0.23,0.54,3.46,1.15,26.9,11.9,61.2,,0.233953953
I prefer to take on tasks that I’m already good at.,4.0625,0.7266,0,0.2292,0.7708,,,,,,,
I prefer to take on tasks that will help me better learn the material.,3.9811,0.8202,0.0189,0.2264,0.7547,,,,,,,
I also learn when I teach the material to my group members.,4.2871,0.8982,0.0495,0.0891,0.8614,3.66,0.9,12,20.3,67.8,,6.64389815
I become frustrated when my group members do not understand the material.,2.3168,1.0764,0.6238,0.1881,0.1881,3.11,1.13,31.9,25,43.2,,-6.983399327
Everyone’s ideas are needed if we are going to be successful.,4.06,1.033,0.09,0.14,0.77,3.87,1,12.3,12,75.7,,1.755293631
"When I work with other students, we spend too much time talking about other things.",2.1089,0.937,0.7327,0.1683,0.099,2.47,1.13,54.9,24.2,21,,-3.599103723
My group did higher quality work when my group members worked on tasks together.,3.7723,0.9988,0.099,0.2475,0.6535,,,,,,,
My group did higher quality work when group members worked on different tasks at the same time.,3.4752,0.9959,0.1881,0.2673,0.5446,,,,,,,
"You have a certain amount of physics intelligence, and you can’t really do much to change it.",2.14,1.1283,0.71,0.25,0.04,,,,,,,
Your physics intelligence is something about you that you can’t change very much.,2.01,1.0963,0.77,0.2,0.03,,,,,,,
"You can learn new things, but you can’t really change your basic physics intelligence.",2.06,1.0901,0.73,0.24,0.03,,,,,,,
