When I work in a group I do higher quality work.,"When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can’t change very much.,"You can learn new things, but you can’t really change your basic physics intelligence."
4,4,2.0,4,5,2,4,3,5.0,4,4.0,2,4,5,4,4,1.0,2,3,4,5,2.0,4,2,4,2,5,4,2,2,2
3,4,3.0,3,4,2,3,3,4.0,4,3.0,3,4,3,3,2,2.0,3,4,2,2,3.0,3,4,3,3,3,3,4,4,4
5,3,1.0,5,5,1,4,5,5.0,5,3.0,3,2,4,5,2,3.0,1,3,4,4,4.0,4,3,2,2,4,2,4,4,4
5,4,4.0,3,5,2,2,1,4.0,5,5.0,1,2,5,5,1,1.0,1,4,2,2,4.0,5,1,4,3,5,3,3,2,3
3,2,2.0,4,5,1,5,5,5.0,4,4.0,5,3,4,5,1,2.0,1,3,4,5,1.0,5,1,5,1,3,3,3,2,2
4,3,2.0,4,4,3,4,3,4.0,3,3.0,4,4,3,4,3,2.0,3,3,4,4,4.0,4,2,3,2,4,2,3,3,5
4,2,1.0,4,2,1,3,4,5.0,5,5.0,1,4,2,5,2,1.0,2,2,4,4,2.0,4,1,4,2,5,4,1,2,2
4,2,2.0,4,5,1,5,3,5.0,5,3.0,3,2,4,4,1,1.0,1,2,4,4,2.0,4,2,4,2,3,3,1,1,1
2,2,2.0,4,4,1,4,3,5.0,4,2.0,4,1,3,4,1,2.0,1,1,4,4,2.0,4,3,4,4,4,2,2,2,2
4,3,2.0,4,4,2,4,5,4.0,4,3.0,3,3,3,4,3,3.0,2,3,3,4,3.0,4,3,3,2,4,4,2,2,2
